
                      ;
            Název školy          ;
            Poskytování vzdělání          ;
            Volná místa          ;
            Průběžné výsledky          
Individuální docházka:0
Přerušených řízení:0          

            31          ;
            Mateřská škola Brno, Francouzská 50, příspěvková organizace          ;
            Francouzská 50
          ;
            15          ;
            Děti ze spádové oblasti:22
Podaných žádostí:21
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            32          ;
            Mateřská škola, Brno, Gabriely Preissové 8, příspěvková organizace          ;
            Gabriely Preissové 2570/8
          ;
            30          ;
            Děti ze spádové oblasti:25
Podaných žádostí:95
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            33          ;
            Mateřská škola Brno, Hatě 19, příspěvková organizace          ;
            Hatě 19, 621 00 Brno
          ;
            18          ;
            Děti ze spádové oblasti:22
Podaných žádostí:34
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            34          ;
            Mateřská škola Rozárka, Brno, Herčíkova 12, příspěvková organizace          ;
            Herčíkova 2477/12
          ;
            24          ;
            Děti ze spádové oblasti:35
Podaných žádostí:98
Přijatých žáků:12
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            35          ;
            Mateřská škola, Brno, Herčíkova 21,příspěvková organizace          ;
            Herčíkova 21
          ;
            18          ;
            Děti ze spádové oblasti:19
Podaných žádostí:80
Přijatých žáků:17
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            36          ;
            Mateřská škola Brno, Hněvkovského 62, příspěvková organizace          ;
            Hněvkovského 62
          ;
            24          ;
            Děti ze spádové oblasti:14
Podaných žádostí:68
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            37          ;
            Mateřská škola, Brno, Hochmanova 25, příspěvková organizace          ;
            Hochmanova 25
          ;
            21          ;
            Děti ze spádové oblasti:19
Podaných žádostí:91
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            38          ;
            Mateřská škola Brno, Holásecká 11, příspěvková organizace          ;
            Holásecká 11
Zapletalova 67
          ;
            20          ;
            Děti ze spádové oblasti:33
Podaných žádostí:66
Přijatých žáků:3
Nepřijatých žáků:0
Individuální docházka:3
Přerušených řízení:0          

            39          ;
            Základní škola a mateřská škola Brno, Horní 16, příspěvková organizace          ;
            Horní 16
          ;
            10          ;
            Děti ze spádové oblasti:6
Podaných žádostí:47
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            40          ;
            Mateřská škola &quot;Na kopečku u zvonečku &quot;, Brno, Horní 17, příspěvková organizace          ;
            Horní 17
          ;
            26          ;
            Děti ze spádové oblasti:12
Podaných žádostí:61
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            41          ;
            Základní škola a mateřská škola, Brno, Horníkova 1, příspěvková organizace          ;
            Horníkova 1
Poláčkova 13
          ;
            45          ;
            Děti ze spádové oblasti:47
Podaných žádostí:115
Přijatých žáků:3
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            42          ;
            Mateřská škola Brno, Hudcova 435/47, příspěvková organizace          ;
            Hudcova 435/47
V Újezdech  5
          ;
            57          ;
            Děti ze spádové oblasti:65
Podaných žádostí:103
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            43          ;
            Základní škola a mateřská škola Brno, Husova 17, příspěvková organizace          ;
            Jánská 22
          ;
            5          ;
            Děti ze spádové oblasti:26
Podaných žádostí:66
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            44          ;
            Mateřská škola Pastelky, Brno, Jamborova 11          ;
            Jamborova 11
          ;
            10          ;
            Děti ze spádové oblasti:12
Podaných žádostí:88
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            45          ;
            Základní škola a Mateřská škola, Brno, Jana Broskvy 3, příspěvková organizace, 643 00  Brno            ;
            Jana Broskvy 3
          ;
            8          ;
            Děti ze spádové oblasti:9
Podaných žádostí:23
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            46          ;
            Mateřská škola Brno, Jihomoravské nám. 5, příspěvková organizace          ;
            Jihomoravské náměstí 5
Jihomoravské náměstí 3
          ;
            50          ;
            Děti ze spádové oblasti:33
Podaných žádostí:111
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            47          ;
            Základní škola a mateřská škola Brno, Jihomoravské nám. 2, příspěvková organizace          ;
            Jihomoravské nám. 2
Jihomoravské nám. 4
          ;
            40          ;
            Děti ze spádové oblasti:72
Podaných žádostí:98
Přijatých žáků:11
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            48          ;
            Mateřská škola Brno, Jugoslávská 70, příspěvková organizace          ;
            Jugoslávská 70/627
          ;
            11          ;
            Děti ze spádové oblasti:28
Podaných žádostí:96
Přijatých žáků:7
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            49          ;
            Mateřská škola Skřivánek, Brno, Kachlíkova 19, příspěvková organizace          ;
            Kachlíkova 19
          ;
            27          ;
            Děti ze spádové oblasti:37
Podaných žádostí:104
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            50          ;
            Mateřská škola ZVÍDÁLEK, Brno, Kachlíkova 17, příspěvková organizace, 635 00 Brno          ;
            Kachlíkova 17
          ;
            18          ;
            Děti ze spádové oblasti:37
Podaných žádostí:116
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            51          ;
            Mateřská škola DUHA, Brno, Kachlíkova 21, příspěvková organizace          ;
            Kachlíkova 21
          ;
            20          ;
            Děti ze spádové oblasti:22
Podaných žádostí:120
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            52          ;
            Mateřská škola, Brno, Kamenáčky 28          ;
            Kamenáčky 28
          ;
            24          ;
            Děti ze spádové oblasti:25
Podaných žádostí:114
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            53          ;
            Mateřská škola Brno, Kamenná 21, příspěvková organizace          ;
            Kamenná 21
          ;
            20          ;
            Děti ze spádové oblasti:32
Podaných žádostí:87
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            54          ;
            Mateřská škola Brno, Kárníkova 4, příspěvková organizace          ;
            Kárníkova 4
          ;
            30          ;
            Děti ze spádové oblasti:25
Podaných žádostí:69
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            55          ;
            Mateřská škola KAMECHY, Brno, Kavčí 3, příspěvková organizace          ;
            Kavčí 3, Říčanská 18
          ;
            34          ;
            Děti ze spádové oblasti:59
Podaných žádostí:146
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            56          ;
            Mateřská škola Brno, Klášterského 14, příspěvková organizace          ;
            Klášterského 14
          ;
            22          ;
            Děti ze spádové oblasti:23
Podaných žádostí:61
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            57          ;
            Mateřská škola, Brno, Kneslova 7,příspěvková organizace          ;
            Kneslova 7
          ;
            21          ;
            Děti ze spádové oblasti:24
Podaných žádostí:43
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            58          ;
            Mateřská škola Brno, Kohoutova 6, příspěvková organizace          ;
            Kohoutova 6
          ;
            0          ;
            Děti ze spádové oblasti:19
Podaných žádostí:6
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            59          ;
            Mateřská škola  NA OSADĚ, Brno, Koperníkova 6          ;
            Koperníkova 6
          ;
            30          ;
            Děti ze spádové oblasti:57
Podaných žádostí:115
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:1
Přerušených řízení:0          

            60          ;
            Základní škola a mateřská škola, Brno, Kotlářská 4, příspěvková organizace          ;
            Kotlářská 4
Kotlářská 11
          ;
            25          ;
            Děti ze spádové oblasti:39
Podaných žádostí:177
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            61          ;
            Mateřská škola Brno, Křenová 76a, příspěvková organizace          ;
            Křenová 76a
          ;
            14          ;
            Děti ze spádové oblasti:9
Podaných žádostí:30
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            62          ;
            Základní škola a mateřská škola Brno, Křenová 21, příspěvková organizace          ;
            Mlýnská 27
          ;
            0          ;
            Děti ze spádové oblasti:10
Podaných žádostí:7
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            63          ;
            Základní škola a mateřská škola Brno, Křídlovická 30b, příspěvková organizace          ;
            Křídlovická 30b
          ;
            15          ;
            Děti ze spádové oblasti:21
Podaných žádostí:84
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            64          ;
            Mateřská škola Brno, Kšírova 3, příspěvková organizace.          ;
            Kšírova 3
          ;
            5          ;
            Děti ze spádové oblasti:3
Podaných žádostí:39
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            65          ;
            Mateřská škola, Brno, Labská 7, příspěvková organizace          ;
            Labská 7/268
          ;
            13          ;
            Děti ze spádové oblasti:20
Podaných žádostí:78
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            66          ;
            Mateřská škola Laštůvkova 57/59, Brno-Bystrc, příspěvková organizace          ;
            Laštůvkova 57/59
          ;
            52          ;
            Děti ze spádové oblasti:79
Podaných žádostí:124
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:1
Přerušených řízení:0          

            67          ;
            Mateřská škola, Brno, Letní 3          ;
            Letní 3/1352
          ;
            9          ;
            Děti ze spádové oblasti:19
Podaných žádostí:44
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            68          ;
            Mateřská škola Brno, Libušina třída 29, příspěvková organizace          ;
            Libušina třída 29
          ;
            19          ;
            Děti ze spádové oblasti:27
Podaných žádostí:54
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            69          ;
            Základní škola a Mateřská škola Brno, Milénova 14, příspěvková organizace          ;
            Loosova 11
          ;
            35          ;
            Děti ze spádové oblasti:33
Podaných žádostí:68
Přijatých žáků:14
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            70          ;
            Mateřská škola Brno, Marie Majerové 14, příspěvková organizace          ;
            Marie Majerové 14/792
          ;
            15          ;
            Děti ze spádové oblasti:9
Podaných žádostí:69
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            71          ;
            Mateřská škola FAMILY, Brno, Mazourova 2          ;
            Mazourova 2
          ;
            28          ;
            Děti ze spádové oblasti:42
Podaných žádostí:101
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            72          ;
            Základní škola a Mateřská škola Brno, Merhautova 37, příspěvková organizace          ;
            Merhautova 37
Vranovská 17
Sýpka 26a
          ;
            57          ;
            Děti ze spádové oblasti:46
Podaných žádostí:104
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            73          ;
            Mateřská škola Brno, Měřičkova 46, příspěvková organizace          ;
            Měřičkova 46
          ;
            22          ;
            Děti ze spádové oblasti:49
Podaných žádostí:104
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            74          ;
            Mateřská škola RADOST, Michalova 2, Brno, příspěvková organizace          ;
            Michalova 2
          ;
            13          ;
            Děti ze spádové oblasti:22
Podaných žádostí:18
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            75          ;
            Mateřská škola Brno, Nádvorní 3, příspěvková organizace          ;
            Nádvorní 3/704
          ;
            20          ;
            Děti ze spádové oblasti:32
Podaných žádostí:99
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            76          ;
            Základní škola a mateřská škola Brno, nám 28. října 22, příspěvková organizace          ;
            nám 28. října 21
          ;
            8          ;
            Děti ze spádové oblasti:62
Podaných žádostí:51
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            77          ;
            Základní škola a mateřská škola Brno, nám 28. října 22 (pracoviště Stará 13/15), příspěvková organizace          ;
            Stará 13/15
          ;
            12          ;
            Děti ze spádové oblasti:62
Podaných žádostí:24
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            78          ;
            Základní škola J.A.Komenského a Mateřská škola Brno, nám. Republiky 10, příspěvková organizace                  ;
            Cacovická 6
          ;
            16          ;
            Děti ze spádové oblasti:27
Podaných žádostí:23
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            79          ;
            Základní škola a Mateřská škola Brno, nám. Svornosti 7, příspěvková organizace          ;
            nám. Svornosti 8
          ;
            60          ;
            Děti ze spádové oblasti:74
Podaných žádostí:131
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            80          ;
            Mateřská škola Brno, nám.SNP 25a, příspěvková organizace          ;
            nám.SNP 25a
          ;
            18          ;
            Děti ze spádové oblasti:17
Podaných žádostí:77
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            81          ;
            Mateřská škola, Brno, Neklež 1a, příspěvková organizace          ;
            Neklež 1a
          ;
            30          ;
            Děti ze spádové oblasti:37
Podaných žádostí:62
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            82          ;
            Mateřská škola, Brno, Nopova 15          ;
            Nopova 15
          ;
            14          ;
            Děti ze spádové oblasti:29
Podaných žádostí:112
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            83          ;
            Mateřská škola Brno, Novoměstská 1, příspěvková organizace          ;
            Novoměstská 1
          ;
            20          ;
            Děti ze spádové oblasti:25
Podaných žádostí:48
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            84          ;
            Mateřská škola Pomněnky, Brno, Oblá 51, příspěvková organizace          ;
            Oblá 51
          ;
            61          ;
            Děti ze spádové oblasti:36
Podaných žádostí:131
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            85          ;
            Mateřská škola, Brno, Oderská 2          ;
            Oderská 2
          ;
            26          ;
            Děti ze spádové oblasti:29
Podaných žádostí:50
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            86          ;
            Mateřská škola Studánka, Brno, Ondrova 25, příspěvková organizace          ;
            Ondrova 25
          ;
            17          ;
            Děti ze spádové oblasti:12
Podaných žádostí:34
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            87          ;
            Základní škola a Mateřská škola Brno, Pastviny 70, příspěvková organizace          ;
            Pastviny 70
          ;
            21          ;
            Děti ze spádové oblasti:23
Podaných žádostí:87
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            88          ;
            Mateřská škola Zdislava, Brno, Pellicova 4, příspěvková organizace          ;
            Pellicova 4
          ;
            20          ;
            Děti ze spádové oblasti:32
Podaných žádostí:127
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            89          ;
            Mateřská škola Beruška, Brno, Plovdivská 6,příspěvková organizace          ;
            Plovdivská 6
          ;
            30          ;
            Děti ze spádové oblasti:36
Podaných žádostí:128
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            90          ;
            Waldorfská škola Brno - střední škola, základní škola a mateřská škola, příspěvková organizace          ;
            Plovdivská 8
          ;
            0          ;
            Děti ze spádové oblasti:0
Podaných žádostí:0
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            91          ;
            Základní škola a mateřská škola Brno, Přemyslovo nám.1, příspěvková organizace           ;
            Přemyslovo nám. 1
          ;
            15          ;
            Děti ze spádové oblasti:2
Podaných žádostí:76
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            92          ;
            Mateřská škola Brno, Proškovo nám. 6/150, příspěvková organizace          ;
            Proškovo nám. 6
          ;
            16          ;
            Děti ze spádové oblasti:29
Podaných žádostí:63
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            93          ;
            Mateřská škola Prušánecká 8, Brno, příspěvková organizace          ;
            Prušánecká 8
          ;
            28          ;
            Děti ze spádové oblasti:50
Podaných žádostí:107
Přijatých žáků:10
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            94          ;
            Mateřská škola Brno, Pšeník 18, příspěvková organizace          ;
            Pšeník 18
          ;
            8          ;
            Děti ze spádové oblasti:14
Podaných žádostí:35
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            95          ;
            Mateřská škola, Brno, Puchýřova 13a, příspěvková organizace          ;
            Puchýřova 13a
          ;
            26          ;
            Děti ze spádové oblasti:29
Podaných žádostí:91
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            96          ;
            Mateřská škola, Brno, Purkyňova 21, příspěvková organizace          ;
            Purkyňova 21
          ;
            10          ;
            Děti ze spádové oblasti:11
Podaných žádostí:83
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            97          ;
            Mateřská škola Brno, Řezáčova 3, příspěvková organizace          ;
            Řezáčova 3
          ;
            20          ;
            Děti ze spádové oblasti:30
Podaných žádostí:59
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            98          ;
            Mateřská škola Vážka, Brno, Rybnická 45, příspěvková organizace          ;
            Rybnická 45, Svážná 9
          ;
            27          ;
            Děti ze spádové oblasti:37
Podaných žádostí:79
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            99          ;
            Mateřská škola, Brno, Šaumannova 20          ;
            Šaumannova 20
          ;
            15          ;
            Děti ze spádové oblasti:26
Podaných žádostí:86
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            100          ;
            Mateřská škola Brno, Síčka 1a, příspěvková organizace          ;
            Síčka 1a
Dohnalova 63
          ;
            26          ;
            Děti ze spádové oblasti:48
Podaných žádostí:81
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            101          ;
            Mateřská škola Brno, Skořepka 5, příspěvková organizace          ;
            Skořepka 5/368
          ;
            15          ;
            Děti ze spádové oblasti:15
Podaných žádostí:39
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            102          ;
            Mateřská škola Brno, Škrétova 2, příspěvková organizace          ;
            Škrétova 2
          ;
            20          ;
